pasted_tok	turn	engine_prompt	engine_reused	engine_new	engine_ttft_s	browser_first_s	browser_total_s	gen_tok
0	1	4428	4419	9	1.82	2.82	3.63	2
0	2	4444	4430	14	2.70	4.53	4.54	4
500	1	4672	4419	253	42.29	43.29	44.11	2
500	2	4688	4674	14	2.72	4.54	4.54	4
2000	1	5434	4419	1015	182.03	183.21	184.02	2
2000	2	5450	5436	14	2.83	4.79	4.79	4
